avgDeathsPerYear,TARGET_deathRate,medIncome,popEst2015,povertyPercent,MedianAge,AvgHouseholdSize,PercentMarried,PctNoHS18_24,PctBachDeg18_24,PctBachDeg25_Over,PctEmployed16_Over,PctUnemployed16_Over,BirthRate
206,198.2,40270,77510,17.7,41.6,2.4,51.3,11.9,8.3,12,45.5,6.6,3.77850558
68,168.6,37468,29126,20.8,43.2,2.35,52.2,24.3,7.6,10.6,48.7,6.7,4.231027535
32,214.7,46383,9982,17.7,45.2,2.56,49.5,23.1,0.3,6.3,44.8,10.6,6.267539757
41,204,33041,14435,23.1,44.2,2.48,53.9,26,10,8.2,41.3,8.9,2.353331124
36,170.4,32456,13239,25.8,46.3,2.22,53.5,20,8.4,7.6,42.2,10,3.812668868
39,172.2,40305,16912,16.8,43,2.45,52.3,9.2,5,11.7,48.9,9.5,6.801152738
19,168.1,36466,6966,17.1,47.7,2.26,60.5,7,0,7.1,51.7,7.6,3.868613139
27,199.1,41019,8975,15.8,46.2,2.48,53.5,19,6.3,7.2,44.1,10.9,1.988950276
60,189.5,38387,24758,19.7,41.8,2.57,51.5,9.1,6.1,9.3,48.2,8,5.300938708
102,183.8,37242,40971,20,42.5,2.47,48.9,13.4,3.2,7.5,43.3,9.9,4.112005292
33,259.5,29331,8755,26.1,46.3,2.28,54.1,10.4,2.8,5.3,40.2,14.8,4.203539823
50,202.6,40013,15816,18.5,46,2.46,51.4,19.8,3.2,6,41.7,8.1,6.161137441
14,185.8,38600,5880,20.3,45,2.4,52.2,21.1,2.3,7.8,47.9,8.4,5.968928863
217,185.5,41932,86452,17.2,42.5,2.37,51.1,15.8,4.2,12.2,52.4,8.6,6.23870268
69,235.4,34419,22151,22.8,42.8,2.48,55.7,23.3,3.6,4.5,34.6,10.1,6.018614271
73,206,42063,20148,17.8,51.4,2.47,50.9,21.5,3.3,8.5,42.2,10.1,3.861129137
45,217.5,41294,15843,14.9,42.2,2.29,45.9,8.9,6,14.6,58.2,7.9,6.460336538
112,168.4,46375,45563,13.7,43.9,2.35,55.8,15.6,3.3,10.6,60,6,5.884312202
42,171.7,44395,14977,13.6,50.8,2.16,58.5,14.2,4.5,18.9,54.1,7.2,5.547054323
406,158.6,54141,258718,12,36.8,2.46,51.4,16.8,9,20,65.4,6.1,5.921762149
33,166.4,50998,13192,10.5,45,2.29,59,14.5,5.5,12.4,64.7,3.7,7.17472119
50,190.1,41810,15159,16.5,50.9,2.08,59,14.7,6.8,11.9,50.3,7.5,4.96054115
79,157.9,68430,49762,5.9,39,2.66,62,14.6,11.9,20.6,69.4,3.1,4.330985915
123,160.1,52485,63531,10.7,40.6,2.44,55.6,14.2,7,13.5,61.8,5.1,5.497771174
70,157.6,45316,34445,16,37.1,2.65,58.2,37.3,2.7,8.4,61.2,4.8,9.86429301
123,176.6,59020,56743,8.8,42,2.44,54.9,18.5,8.1,15.8,65,5.8,4.654466449
43,176.4,43562,16391,14.7,45.9,2.38,52.3,8.9,4.9,10.1,55.6,6.5,5.300353357
707,153.8,61937,523643,13.4,34.6,2.35,47.5,6.3,21.4,28.3,69.5,4.9,4.458527742
201,178.9,54359,88502,9.9,42,2.51,51.1,15,6.2,11.5,60.1,6,4.49736915
77,158.7,49717,27554,11,51.7,2.11,62.6,20.8,11.1,19.7,55.6,6.2,4.481380181
104,192.8,46475,43601,13.9,40.6,2.28,47.6,10.9,7.5,15.4,59.9,7,6.150455775
72,155.6,52224,44497,13.9,34.1,2.48,47.6,4.5,5.5,16.2,62,6.1,5.116736739
177,163.4,48102,102105,14.4,33.8,2.43,46.4,6.9,8.3,19.9,65.3,5.8,4.346348463
13,171.9,44562,4464,12.8,51.1,2.32,59.9,23.9,0,12,51.1,7.2,3.462050599
206,159.4,52149,101973,9.9,41,2.4,54.8,10.6,6.2,14.8,64.6,5.3,4.541733098
25,166.4,41418,9057,17,45.3,2.33,52.8,18.9,4.4,8.8,47.6,10.1,7.250418293
108,166.9,46972,52250,15,36.1,2.44,48.6,8.4,4.7,13.1,62.2,4.6,5.174434328
74,158.4,53328,37186,8.7,42.2,2.47,56.7,10.5,12.4,14.8,67.6,3.5,5.46031746
32,152.3,61802,17110,8.2,458.4,2.46,58.1,4.3,6.2,18,63.4,3.5,9.675645959
15,169.9,40351,5220,16,46.1,2.29,56.5,30.1,5.4,17.2,61.2,1.4,5.360824742
10,187.4,43883,3091,12.1,49.5,2.21,61,11.9,14.2,10,62.2,3.1,7.992565056
10,138.2,55955,5937,9.2,38.8,2.61,62.7,12.4,5.3,14.2,68.3,2.6,5.678233438
13,120.2,49517,5163,10.7,48.9,2.15,67,21.5,9.2,14.8,,1.7,6.35451505
14,215,41344,7064,34,28.6,3.3,40.9,30.2,3,9.2,,14.4,8.467741935
12,156.3,44726,4154,12.3,46,2.21,64.2,17.2,3.1,14.5,67,1.4,5.01285347
39,159.2,69191,20248,7.4,41.2,2.48,63.5,13,11.2,22.6,68,1.4,5.725611099
15,142.1,53290,9367,13.6,30.1,2.33,53.9,3.6,2.4,25.8,66.8,3,5.981533521
12,162.7,40979,3625,12.7,47.5,2.31,57.2,28,3.5,12.9,56.7,4.7,3.524229075
33,164.7,51335,13806,10.6,41.3,2.31,56.5,13.6,5.3,19,65.5,2,6.993486459
62,211,46840,24200,13.2,38.9,2.51,51.6,19.8,1.4,10.9,48.4,11.9,7.724034496
3120,167.7,51241,2114801,15.6,36.4,2.78,44.6,20.2,4.9,15.1,57.7,10.8,5.125073246
108,145.2,60322,47710,10.3,49.4,2.37,58.9,17.3,5,16.4,51.5,8.5,5.193753615
55,143.2,72648,51935,10.8,33.5,2.87,56.6,19,5.1,12.3,67,5.5,6.700733537
4,262.1,47180,829,14,46.5,2.35,44.3,1.2,0,12.6,46,11.9,4.326923077
4,178.7,70535,2016,9.8,43.9,2.17,64.7,48.1,0,14.2,64,4.7,2.412868633
27,191.5,67423,17019,10.7,35.3,2.74,51.6,31.9,4.7,8.8,64.5,7.8,5.517423442
7,123.8,74347,5903,11,37.2,2.79,54.3,24.3,3.3,4.7,59.8,12,11.63179916
9,127.4,45629,5036,15.1,37.4,2.55,56.8,30.1,0.8,15.9,41,11.8,4.519774011
124,195.7,48576,52585,13.7,43.2,2.63,51.1,30.2,0.2,11.1,48.6,13.6,4.62962963
20,254.3,40714,4478,19,48.7,0.0225,41.8,6.1,0,6.8,48.1,15.4,9.518477044
154,213.5,42881,42477,16.8,50.8,0.0242,54.4,32.3,3.3,9.2,39.7,13.4,6.302577113
9,121.8,52001,6634,18.5,41.3,2.29,44.8,38,0,7.5,36.9,9.5,14.62113127
7,132.6,55291,3987,8.4,54.7,2.2,53.5,16.9,13.7,14.1,50.4,10.3,1.17820324
727,166,52862,446903,15.4,37.6,2.58,47,15.9,7.8,18.2,59.6,9.1,5.642578635
23,188.4,57243,9811,13.7,39.4,2.71,44.8,23.9,4.3,8.8,43.8,10.6,5.470459519
145,193.5,45639,54521,19.3,42.6,2.43,45.1,17.4,5.1,12.8,52.9,11.3,4.262413265
151,182.6,59831,60641,10,46.1,2.42,54.2,15.4,10.5,19.1,60.8,5.3,4.824422651
133,168.8,57556,47285,10.7,50.3,2.22,59.4,14.8,3.4,20,56.6,5.8,7.381867511
156,162.8,56008,75909,11.8,42,2.34,48.4,6.1,9,19.4,62.2,6.1,4.687933426
93,181.6,42491,31212,14.9,48.1,2.13,51.5,13.2,7.6,11.7,54.2,6.9,5.975049245
178,155,56353,89320,11.6,41.9,2.35,48.5,6.6,10.9,20.2,59.7,5,6.078496198
694,163.2,71233,406678,8.7,40.1,2.55,51.4,12.9,14.9,23,66.1,5.9,5.055576216
309,173.1,62429,147994,9.5,42.6,2.49,51.5,10.9,9.3,21.5,62.9,5.2,3.901815696
570,172.2,79653,301777,6.1,43.5,2.51,56.8,13.5,16.9,24.6,68,5.6,4.370734571
227,177.6,58577,126825,11.8,37.2,2.48,46.8,6.1,7.9,21.1,64.3,6.5,3.681800261
102,171.9,57142,42967,10.4,45.1,2.44,50.9,17.4,6.6,16.4,60.6,5.8,3.657874742
584,179.5,54208,274219,15.1,40.6,2.64,45.1,12.3,9.4,17,58,12.5,4.69661296
1722,147.3,84309,938506,7.6,41.5,2.73,54.2,10.1,17.6,29.5,61.4,6.5,4.077070131
914,171.6,80479,450226,7.2,41,2.66,50.8,11.3,13,23.3,61,8.5,4.910516481
1039,182.8,61685,510923,13,38.3,2.71,44.7,13.1,11.6,19.4,59.6,10.2,5.434939238
314,193.1,55409,94727,13,48.3,2.3,53.4,14.3,10.7,19.5,53,10,5.43325019
317,189.6,45438,155854,19.5,36.9,2.86,39.6,17.6,7.5,10.5,51,11.1,5.846434788
1272,161.8,54603,797434,16.7,36.9,2.77,39.1,13.7,11.1,19.8,57.7,13,5.084469955
602,193.5,78983,291479,8.2,39.6,2.74,51.7,10.6,10.9,19.9,61.3,9.2,4.878014043
876,152.6,57720,674836,17.7,34.7,2.63,41.5,12.8,19.1,23.8,62.7,9.3,5.344239425
210,145.1,103876,125488,4.7,45,2.6,57.7,16.6,15.1,29.3,64,5.9,4.22223833
648,160.3,73750,371398,11.8,38.4,2.69,47.2,12.1,12,20.7,59.5,9.4,4.725836381
1357,156.7,77330,840900,8.3,37.7,2.85,51.6,9,14.1,24.5,60.4,7.5,5.074989438
1269,168.6,87220,628715,8.2,42.3,2.67,53.2,10.9,17.4,26.1,60.8,7.9,4.571872443
884,150.3,100511,499509,5,42,2.72,56.7,12.2,20.6,29.8,64.7,6.3,3.635690867
1607,174.2,62937,588721,11.9,42.8,2.59,53.6,13,12.4,18,53.6,8.8,6.13243835
827,159.1,58030,510916,18.2,36.5,3.09,44.3,13.1,10.3,17.1,57.8,8.6,4.533343875
164,194.8,56645,64180,13.1,41.8,2.61,48.7,15.6,9.1,14.3,55.8,10.6,5.98109071
549,153.3,100194,333654,5,40.8,2.81,56.6,13.5,18.7,29.2,65,6,4.842990108
281,176.4,82048,143673,6.2,43.4,2.67,55.9,12.2,13,23.2,64,8.2,4.625184917
909,155.6,68172,555786,11.1,38.1,2.91,46.5,15.3,13,19.7,62,9.8,5.746896424
227,175.1,71294,106869,8.3,42.6,2.52,54.5,14.6,13.2,19.7,61.3,9,4.839230894
1031,147.1,47192,676685,18.7,36.5,2.52,43.7,18.9,7.2,17.9,57.5,8.4,5.264795797
10,164.7,33256,3456,22.2,57.1,2.44,49.4,0,12,14.8,33.6,4.6,0.689655172
123,164.5,38403,65764,23.4,34.8,2.72,48.1,23.1,1.7,11.9,52.9,7.6,8.496374333
42,146.5,35081,27329,28.8,36.2,2.98,38.1,27.3,2.5,8.4,44.9,15.3,6.744769874
30,139.9,37156,12414,20.5,47.6,2.26,48.3,25.5,2.5,14.9,45.8,9.5,5.741042345
66,143.8,42620,50398,19.2,30.7,2.72,48.7,15.8,4.3,12.6,54,9.1,7.197033541
8,243.6,33789,1828,20.6,47.3,3.84,27.6,59.1,0,6.8,36.9,5.2,0
319,150.8,38974,214295,27.9,32.4,2.8,46.2,14,4.8,16.2,54,11.5,5.880465757
107,170.8,57007,57578,14.1,36.5,2.66,50.3,23.4,2.2,10.7,60.1,5.8,9.558702453
76,159.4,38221,28609,19.1,46.5,2.37,45.8,20.4,2.5,12.8,,9.7,5.998550199
8,142.8,29147,4371,25.8,41.6,3.28,33.7,16.8,3.2,7.8,35,1.2,3.558718861
11,166.3,34304,4423,24.5,41.8,2.47,46.1,23.7,0.7,9.3,50,12.2,5.485232068
99,166.2,58994,71180,16.6,31.8,3.08,53.3,23.4,2.7,8.1,59.1,5.9,7.530333184
41,123.4,39995,19420,20.1,50.4,2.33,52.2,24.2,9,19.5,48.3,7.3,8.532518066
27,114.5,108477,17785,4.2,43.5,2.34,65.5,23.5,8.9,24.9,62.1,3.5,5.543652919
64,181.8,27268,24518,30.6,39,2.7,47.1,21.1,0.5,6.9,44.4,13.8,8.62924023
82,137.7,29497,76708,35.8,30.8,3.97,33.5,25.1,2.9,6.7,42.4,15.5,7.322096363
10,134.3,27627,4596,24.2,42.6,2.81,41.2,12.8,27.4,6.8,31.9,5.4,1.084812623
122,161.1,41736,64362,20.2,35.6,2.63,49.1,16,3.7,9,43.2,12.7,8.221797323
27,190.6,29069,8455,23.9,45.7,2.59,45,34.7,4.1,9.1,41.6,5,4.063068526
71,155.5,34902,39465,24.1,40.1,2.86,41.9,23.8,2.7,10.6,48.5,11.4,3.902327704
32,163.5,36108,19120,24,29.4,2.62,45.1,12.2,4.9,12.8,53.1,9.7,4.392712551
188,135.7,56142,139394,12.6,469.2,2.83,49.7,17.8,2.9,16.6,55.1,9.2,5.497053425
166,136.7,47520,118737,21,34.2,3.04,46.6,23,1.5,9.1,54.6,9.2,6.09617959
57,158.2,32964,27967,25.5,42.5,2.51,33,16.8,6.4,10.5,41.4,6.4,5.744748568
231,126.1,52628,148686,14.2,44.4,2.35,47.6,25.2,6.9,20.4,,7.9,4.017424976
47,190.3,29036,11282,23.8,55.6,2.25,47.9,17.1,3.3,12.3,39.8,6.8,8.198614319
34,167.8,32285,17256,31,36.8,3.43,28.5,21.6,7.5,10.6,41.9,7.3,2.688172043
62,135.2,36125,32907,19.2,46.8,2.44,42.4,23.4,5.8,16.9,52.8,10.7,4.706601467
32,164.3,37311,15485,27.6,43.3,2.81,49.1,32,2.3,10.4,41.6,11.2,2.98792117
9,151.6,36684,4201,19.4,40.3,2.39,44.5,15.4,12,11,46.5,2.1,3.536585366
133,163.1,40591,75737,24.5,38.5,2.78,49.2,18.6,1.6,10.8,47.3,12.4,6.407674997
637,176.1,60371,309381,13.5,37.9,2.35,40.8,7.2,17.4,20.1,60.7,6.4,3.774039071
105,177.2,42655,47462,18.3,38.3,2.36,47.6,7.2,5.7,9.8,51.8,9.2,4.844731809
2059,162,33687,1455444,31.5,33.2,2.86,31,24.2,6.8,12.3,51.2,14,5.67890152
442,163.6,46283,196567,17.2,39.9,2.37,43.8,9.7,11.6,15,54.1,7.8,4.2987606
171,167.9,43892,77922,16.2,41.4,2.41,48.7,18.3,5.5,10.3,54.3,8.2,4.82052462
163,158.6,52792,78288,12.7,42.5,0.0243,46.8,19.4,7.3,12.5,56.9,7.3,5.470136014
315,173.2,41757,130779,19.3,41.7,2.36,47,13.8,6.5,11.3,53.6,7.8,6.073151538
214,183.8,48880,87071,18.2,40.9,2.35,48.3,14.1,8.1,12.8,53.8,5.4,5.089635277
121,180.3,46387,48844,16.7,43.8,0.0249,50.2,16.6,5.8,9.5,53.6,7.1,5.052412881
155,194.2,34842,51881,20.5,46,2.32,52,12.8,5.1,7.3,49.9,10,6.007452513
5,111.3,38636,2214,14.6,59,2.1,63.1,16.1,16.9,14.6,51.3,1.1,10.79136691
88,200.6,64350,36314,10.2,44.5,2.57,58.1,14.1,7.5,17.3,59.4,8.3,3.667228197
159,149,75926,73147,7.9,45.4,2.49,58.3,13.5,15,26.5,54.7,5.1,4.819607038
18,180.3,46331,7158,14.8,45.9,2.46,53.7,20.9,2,12.5,57,5.5,9.290030211
41,195.7,76206,25515,7.5,36.6,2.96,56.6,11.3,12.4,19,63.6,7.4,6.194544857
32,187.4,64305,16269,8.8,40.7,2.66,58.5,5.7,9.3,12.5,63,5.4,6.631716907
48,190.6,45827,10965,13.7,55.6,2.13,51.4,10.2,10.8,15.3,48.6,7.9,4.297328688
73,224.2,31429,24742,26.6,42.8,2.52,49.8,21.4,6.5,7.6,37.9,12,6.208251473
283,136.5,122641,375629,3.9,35.3,3.08,61.2,16.6,17.1,34.8,72.6,4,6.198748382
77,191,60121,34602,11.5,43.7,2.64,55.1,14.8,2.7,13,58.3,8.1,5.015546843
33,189.8,37548,12299,22.4,44.7,2.48,45.7,21.3,7.7,8.1,43.8,7.3,7.48049564
31,169.8,52513,13134,12.3,44.6,2.58,52.2,19.5,10.2,14.4,55.9,6.6,6.25698324
27,157.1,58268,8862,10.6,51.1,2.3,63.6,15.8,14.2,16.2,51.1,3.3,1.906898486
109,213.7,38500,31081,21.1,47.2,2.41,44.4,18.7,3.4,9.8,47.6,6.9,4.664723032
43,206.9,48921,10606,14.4,52.7,2.38,54.4,4.4,2.7,15.3,47.5,6.3,2.71468144
120,153.3,43484,97653,24.8,27.5,2.48,39.1,2.7,13.7,23.2,55,5.6,3.135414054
44,194.3,48076,14785,13.4,48.4,2.33,50,12.9,8.9,14.4,54.4,5.7,5.74048913
39,201.4,72406,20392,6.2,43.1,2.61,60.6,13.9,8,16.7,62.8,6.1,2.628490965
48,227.1,36822,12155,21.5,48.3,2.26,46.4,17.8,6.4,14,48.1,9.5,6.455750321
49,190.5,51422,12232,14.3,55.1,2.1,61,8.2,0.7,16.1,47.2,8.7,7.278020378
44,201.5,37996,15673,24.3,41.5,0.0254,42.7,26.7,0,10.5,43.8,10.8,7.331771008
82,177.3,59282,35385,10.7,42.6,2.66,54.7,10.7,4.5,15.2,53.8,7.9,2.100668394
65,199.2,44851,23726,16.9,44.1,2.52,53.1,14.8,7.3,8.1,52.8,9.3,5.963302752
52,178.3,34885,18045,21.9,48,2.31,53.5,10.5,6.9,8,45,8.3,2.944539737
156,176.8,44207,62194,14.6,546,2.36,53.5,14.7,6.3,9.4,53.9,7.7,4.194566305
52,175.1,75539,28031,7.1,43.7,2.63,57.5,26.2,2.7,19.3,56.6,4.9,5.615292712
48,188.8,37543,22952,25.5,32.1,2.49,36.1,6.4,4.3,12.4,44.4,7,7.608005083
59,172.1,61792,37862,10.5,37.1,3.03,49.7,12.5,5,14,47.4,10.6,4.855936413
407,150.1,91886,451721,7.2,34,3.17,55,13.1,10,23.2,68.5,5.4,6.857756326
91,185.8,46186,34332,14.7,45.2,2.3,53.5,9.9,5.3,11.4,53.6,7.4,6.174957118
17,149.6,62800,7378,9.3,49.1,2.26,63.9,13.1,3.7,19.9,57,2.9,5.182481752
22,176.2,42204,8908,19.7,43.7,2.47,46.6,16.7,1,8.8,41.2,8.7,8.755129959
204,155.9,61935,94409,8.2,43.5,2.4,55.7,12,12.5,22.7,59.2,5.1,5.404491669
58,159.2,48497,22354,13,48.3,2.39,55,16,5,13.8,51.9,4.1,6.476146578
157,156.1,55798,78593,11.7,41.5,2.57,57,13,7.1,14.4,61.3,5.4,4.834403227
81,212,37378,27891,17.9,43.8,2.51,54,12.6,2.4,8,43.7,8,3.255738239
69,196.1,36290,22126,20.8,45.4,2.34,57.6,4.1,9.9,8.1,45.3,9.4,2.248441674
104,171.4,45430,43190,12,43.8,2.47,55.6,14.5,5.7,12.2,57.9,6,7.406593407
92,202.4,37831,31470,19.7,44.3,2.43,51.7,14.7,4.6,9.2,50.8,6.4,6.188734455
43,181.8,46521,18109,15.3,45.4,2.53,48.3,21.2,2.3,10.1,52.1,7.2,5.455508475
191,172.5,75714,130475,9.2,36.7,2.97,56,11.8,10.8,17.9,63.3,6.2,6.051314143
160,175.6,92647,142003,5.9,34.7,3.08,57.4,11.1,14.7,22.2,61.8,5.5,4.970818505
17,182.2,48707,6709,12.9,47.5,2.56,53.2,25.8,14,15.4,56.2,10.7,4.897660819
30,208.4,37748,11715,23.9,38.5,2.08,32,38.5,0.3,5.5,25,6.9,3.682946357
127,208.1,38292,42899,19.2,43.1,2.38,53.9,14.6,3.7,8.5,46.2,8,6.033920417
84,202.5,60714,39083,11.3,40.4,2.62,51.2,7.9,8.5,13.9,60.8,7.2,5.544668588
136,176.7,43353,54591,14.5,44.7,2.35,53.9,11.1,8.8,14.4,53.6,6.9,5.091597145
49,179.9,48232,17629,15,46.6,2.51,47.6,6.2,4.7,11.5,51,9.7,3.666942377
106,223.4,38528,39718,21.9,39.8,2.46,47.5,12.2,5.9,9,41.3,11,3.651138835
71,175.9,41132,29119,15.6,43.6,2.44,53.7,8.5,4,9.8,52.9,9.6,2.933713923
103,152.3,81169,67837,5.5,39.5,2.73,61.5,9.3,11.7,22.8,57.8,5.8,4.925163106
165,135.4,86419,153511,9.6,36,2.21,44.1,14.4,23.9,29.8,74.2,4.5,6.214827502
58,226.6,34099,17141,21.8,41.8,2.22,46.2,10.4,3.6,16.1,51.3,10.7,3.86837478
19,240.8,38331,6618,17.2,33.8,2.26,48.1,0.5,11.4,11,51.8,7.3,11.88769415
60,178.2,45890,46597,25.9,29.8,0.0239,30.1,4.9,18,23.3,60.6,4.3,2.753790712
378,182.2,66625,235429,9.8,36.5,2.75,52.5,12.2,9.7,18.8,58.6,7.5,5.746827092
43,159.3,52355,17820,11.5,40,2.44,47.4,14.1,14.6,13.7,54.9,8.3,3.664122137
130,207.4,33646,42082,23.6,41.8,2.2,38.7,13.7,6.1,11.3,48.9,12.7,3.236583838
16,137.6,125635,13892,3.2,37.7,2.57,55.3,4.1,37.5,34.4,72,4.2,3.066180935
25,221.7,38583,8490,22.5,38,2.41,34.9,31.3,0.6,16.1,51.8,13.7,4.927099045
39,180.3,51195,28118,16.8,29.4,2.46,33.7,2.6,12.3,21.2,60.4,8.9,4.269052202
270,190.3,47615,136454,15.2,35.4,2.51,41,8.8,7.6,14.9,55.2,9.8,4.72938218
51,150.5,38541,52538,28.3,23.5,2.69,28.7,2.9,6.8,20.6,54.6,6.5,2.564793362
